,id,symbol,name,current_price,market_cap,price_change_percentage_24h,last_updated
0,bitcoin,btc,Bitcoin,117590.0,2339772994776,2.15439,2025-07-26 09:10:03+00:00
1,ethereum,eth,Ethereum,3760.93,454005527123,2.86038,2025-07-26 09:10:02.503000+00:00
2,ripple,xrp,XRP,3.18,188073930440,3.30794,2025-07-26 09:10:10.100000+00:00
3,tether,usdt,Tether,1.0,163082262251,0.01973,2025-07-26 09:10:06.786000+00:00
4,binancecoin,bnb,BNB,783.99,109206670943,2.6194,2025-07-26 09:09:57.372000+00:00
5,solana,sol,Solana,187.8,101044215251,5.53702,2025-07-26 09:10:05.656000+00:00
6,usd-coin,usdc,USDC,0.999911,64259122054,0.00835,2025-07-26 09:10:07.437000+00:00
7,dogecoin,doge,Dogecoin,0.237992,35754920695,4.96374,2025-07-26 09:10:00.470000+00:00
8,staked-ether,steth,Lido Staked Ether,3751.64,33822005553,2.72246,2025-07-26 09:10:05.442000+00:00
9,tron,trx,TRON,0.317282,30054998160,0.77504,2025-07-26 09:10:06.998000+00:00
10,cardano,ada,Cardano,0.823907,29796945290,4.16216,2025-07-26 09:09:59.823000+00:00
11,wrapped-bitcoin,wbtc,Wrapped Bitcoin,117534.0,15145253791,1.84415,2025-07-26 09:10:07.585000+00:00
12,hyperliquid,hype,Hyperliquid,44.57,14868791672,5.35885,2025-07-26 09:10:04.999000+00:00
13,wrapped-steth,wsteth,Wrapped stETH,4539.78,14693643842,2.70938,2025-07-26 09:10:07.322000+00:00
14,sui,sui,Sui,4.03,13906193192,9.94702,2025-07-26 09:10:06.342000+00:00
15,stellar,xlm,Stellar,0.439533,13694391954,6.35086,2025-07-26 09:10:05.862000+00:00
16,chainlink,link,Chainlink,18.34,12433545920,4.28636,2025-07-26 09:09:58.294000+00:00
17,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4039.24,11978082414,2.52135,2025-07-26 09:10:07.366000+00:00
18,hedera-hashgraph,hbar,Hedera,0.264744,11222903846,11.24909,2025-07-26 09:10:04.368000+00:00
19,bitcoin-cash,bch,Bitcoin Cash,555.54,11057913748,5.23659,2025-07-26 09:09:57.323000+00:00
